epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92557,1.89418,4.48365,1.90102,0.25297,0.23248,0.20951,0.1168,1.65983,3.35221,1.66737,8.574e-05,8.574e-05,8.574e-05
2,5.10954,1.67379,2.69511,1.69072,0.66851,0.49084,0.53768,0.35398,1.34367,3.64427,1.42891,0.000183931,0.000183931,0.000183931
3,6.84079,1.52423,1.78388,1.56409,0.63815,0.72991,0.74258,0.46828,1.41333,2.11761,1.48875,0.000280141,0.000280141,0.000280141
4,8.54369,1.36363,1.42671,1.44778,0.86881,0.73329,0.83745,0.50442,1.45873,1.70721,1.46652,0.000374371,0.000374371,0.000374371
5,10.2575,1.36037,1.32099,1.45002,0.81062,0.62198,0.76012,0.47096,1.32124,1.432,1.37596,0.00046662,0.00046662,0.00046662
6,11.946,1.34149,1.2237,1.42731,0.79175,0.85324,0.8635,0.55589,1.31811,1.49675,1.43674,0.000556888,0.000556888,0.000556888
7,13.6674,1.38295,1.15705,1.4905,0.66876,0.63272,0.60629,0.34715,1.5487,1.74783,1.57113,0.000645176,0.000645176,0.000645176
8,15.3276,1.35042,1.16107,1.36755,0.7536,0.68205,0.74171,0.47952,1.4185,1.85301,1.45711,0.000731484,0.000731484,0.000731484
9,16.9929,1.32142,1.07459,1.37374,0.81312,0.52674,0.80958,0.52691,1.33027,2.7059,1.47423,0.00081581,0.00081581,0.00081581
10,18.6653,1.33554,1.0593,1.37569,0.78028,0.67525,0.6887,0.46384,1.36088,2.79907,1.46888,0.000898157,0.000898157,0.000898157
11,20.3298,1.25927,0.98195,1.27712,0.61301,0.67945,0.63696,0.40594,1.40483,1.62395,1.498,0.000978522,0.000978522,0.000978522
12,21.9994,1.23047,0.94412,1.32942,0.69969,0.7719,0.78829,0.49139,1.44658,1.74637,1.54893,0.00105691,0.00105691,0.00105691
13,23.6634,1.26101,0.94555,1.33329,0.69069,0.84714,0.84638,0.52244,1.36761,1.54901,1.53389,0.00113331,0.00113331,0.00113331
14,25.3504,1.27865,0.94678,1.32923,0.6604,0.72939,0.80271,0.5059,1.38963,4.10576,1.60694,0.00120774,0.00120774,0.00120774
15,27.0214,1.20751,0.84613,1.30775,0.75562,0.74384,0.85296,0.51473,1.39229,3.29309,1.55457,0.00123094,0.00123094,0.00123094
